Date,Month,Quarter,Year,Factory,Machine_ID,Shift,Operator_ID,Product_Type,Units_Target,Units_Produced,Good_Units,Defective_Units,Defect_Rate_%,Defect_Type,Downtime_Minutes,Temperature_C,Pressure_Bar,Production_Cost_PKR,Scrap_Cost_PKR,Efficiency_%
2024-08-03,August,Q3,2024,Factory-Islamabad,M-105,Evening,OP-001,Gear Box,292,270,258,12,4.44,Assembly Fault,12,75.3,1.77,216281.9,3845.01,88.4
2023-11-19,November,Q4,2023,Factory-Lahore,M-101,Evening,OP-013,Engine Part A,438,364,340,24,6.59,Material Defect,33,111.9,1.59,655606.1,17290.71,77.6
2023-08-06,August,Q3,2023,Factory-Karachi,M-102,Evening,OP-016,Engine Part B,405,368,351,17,4.62,Surface Crack,42,118.0,4.02,577282.99,10667.19,86.7
2024-11-02,November,Q4,2024,Factory-Karachi,M-102,Night,OP-016,Exhaust Pipe,301,292,282,10,3.42,Assembly Fault,65,81.3,2.86,582245.55,7975.97,93.7
2024-05-26,May,Q2,2024,Factory-Karachi,M-101,Night,OP-001,Exhaust Pipe,384,397,383,14,3.53,Material Defect,63,113.8,4.46,250781.93,3537.48,99.7
2024-02-10,February,Q1,2024,Factory-Karachi,M-105,Night,OP-008,Brake Disc,393,312,294,18,5.77,Dimensional Error,62,87.0,2.09,461357.2,10646.7,74.8
2024-10-20,October,Q4,2024,Factory-Karachi,M-102,Evening,OP-005,Gear Box,435,448,404,44,9.82,Dimensional Error,30,64.1,3.9,707464.02,27793.23,92.9
2024-04-14,April,Q2,2024,Factory-Karachi,M-103,Morning,OP-014,Engine Part A,310,260,202,58,22.31,Surface Crack,25,116.0,2.73,433852.08,38712.95,65.2
2023-05-27,May,Q2,2023,Factory-Islamabad,M-102,Morning,OP-020,Engine Part A,236,219,202,17,7.76,Material Defect,24,73.9,4.59,227517.35,7064.47,85.6
2023-09-29,September,Q3,2023,Factory-Islamabad,M-102,Night,OP-012,Suspension Unit,194,195,182,13,6.67,Surface Crack,37,69.8,2.52,217012.33,5787.0,93.8
2023-05-23,May,Q2,2023,Factory-Islamabad,M-103,Evening,OP-007,Brake Disc,487,395,347,48,12.15,Material Defect,38,112.0,3.7,390000.66,18956.99,71.3
2023-09-10,September,Q3,2023,Factory-Lahore,M-102,Evening,OP-020,Transmission Kit,476,474,434,40,8.44,Surface Crack,35,96.7,4.84,659195.92,22251.34,91.2
2024-07-28,July,Q3,2024,Factory-Karachi,M-105,Morning,OP-002,Suspension Unit,225,203,196,7,3.45,Surface Crack,28,62.4,3.24,334491.18,4613.67,87.1
2024-07-05,July,Q3,2024,Factory-Karachi,M-102,Evening,OP-010,Suspension Unit,496,495,462,33,6.67,Dimensional Error,37,77.7,5.64,759790.07,20261.07,93.1
2023-09-27,September,Q3,2023,Factory-Lahore,M-104,Night,OP-017,Suspension Unit,157,126,118,8,6.35,Dimensional Error,89,68.1,3.36,148217.43,3764.25,75.2
2024-08-21,August,Q3,2024,Factory-Karachi,M-104,Night,OP-003,Brake Disc,228,193,180,13,6.74,Material Defect,40,103.1,2.06,129550.75,3490.49,78.9
2024-03-14,March,Q1,2024,Factory-Islamabad,M-103,Morning,OP-017,Transmission Kit,413,427,360,67,15.69,Dimensional Error,17,62.6,2.27,428191.21,26874.76,87.2
2024-08-20,August,Q3,2024,Factory-Islamabad,M-102,Morning,OP-002,Gear Box,314,264,242,22,8.33,Dimensional Error,19,77.3,2.31,487822.6,16260.75,77.1
2024-02-13,February,Q1,2024,Factory-Lahore,M-101,Night,OP-015,Exhaust Pipe,354,356,338,18,5.06,Material Defect,20,96.5,3.72,293810.63,5942.24,95.5
2024-01-06,January,Q1,2024,Factory-Lahore,M-104,Evening,OP-020,Suspension Unit,407,306,281,25,8.17,Surface Crack,27,97.2,4.01,531790.9,17378.79,69.0
2023-08-13,August,Q3,2023,Factory-Islamabad,M-102,Morning,OP-012,Engine Part A,118,93,90,3,3.23,Surface Crack,23,110.3,2.84,174893.67,2256.69,76.3
2023-05-22,May,Q2,2023,Factory-Lahore,M-101,Evening,OP-010,Gear Box,412,390,367,23,5.9,Surface Crack,45,70.6,3.55,533695.28,12589.73,89.1
2024-06-05,June,Q2,2024,Factory-Karachi,M-101,Evening,OP-013,Fuel Pump,134,130,122,8,6.15,Assembly Fault,14,77.6,2.11,200450.79,4934.17,91.0
2024-05-20,May,Q2,2024,Factory-Islamabad,M-103,Night,OP-007,Transmission Kit,456,370,333,37,10.0,Assembly Fault,87,119.2,3.68,567203.12,22688.12,73.0
2023-04-04,April,Q2,2023,Factory-Karachi,M-104,Night,OP-017,Fuel Pump,394,413,392,21,5.08,Material Defect,36,96.9,3.73,658229.95,13387.73,99.5
2023-02-18,February,Q1,2023,Factory-Islamabad,M-104,Morning,OP-010,Brake Disc,199,149,145,4,2.68,Material Defect,25,107.8,4.82,120838.44,1297.59,72.9
2023-04-23,April,Q2,2023,Factory-Karachi,M-104,Morning,OP-018,Fuel Pump,426,346,323,23,6.65,Assembly Fault,27,76.9,5.06,332733.95,8847.26,75.8
2023-06-06,June,Q2,2023,Factory-Karachi,M-101,Morning,OP-013,Fuel Pump,470,432,401,31,7.18,Material Defect,10,71.6,5.25,813637.29,23354.4,85.3
2024-10-04,October,Q4,2024,Factory-Karachi,M-104,Morning,OP-005,Gear Box,421,373,343,30,8.04,Surface Crack,15,87.7,5.16,705598.49,22700.22,81.5
2023-06-13,June,Q2,2023,Factory-Islamabad,M-105,Evening,OP-018,Fuel Pump,109,88,84,4,4.55,Assembly Fault,32,64.0,2.17,154977.57,2817.77,77.1
2024-11-27,November,Q4,2024,Factory-Islamabad,M-104,Night,OP-020,Gear Box,299,241,233,8,3.32,Material Defect,59,102.3,2.92,131933.6,1751.82,77.9
2024-03-08,March,Q1,2024,Factory-Karachi,M-101,Evening,OP-015,Brake Disc,254,206,198,8,3.88,Surface Crack,17,82.5,1.67,165448.41,2570.07,78.0
2024-09-02,September,Q3,2024,Factory-Karachi,M-104,Night,OP-017,Engine Part A,178,143,131,12,8.39,Surface Crack,87,78.6,2.97,236553.76,7940.27,73.6
2023-03-07,March,Q1,2023,Factory-Lahore,M-105,Night,OP-002,Gear Box,335,290,275,15,5.17,Surface Crack,34,60.2,5.7,443867.76,9183.47,82.1
2024-01-30,January,Q1,2024,Factory-Lahore,M-103,Evening,OP-017,Engine Part A,492,466,398,68,14.59,Assembly Fault,29,98.3,2.44,373188.3,21782.66,80.9
2024-01-26,January,Q1,2024,Factory-Karachi,M-103,Night,OP-004,Fuel Pump,239,189,163,26,13.76,Assembly Fault,21,117.5,4.02,123523.4,6797.05,68.2
2024-09-02,September,Q3,2024,Factory-Lahore,M-105,Evening,OP-010,Exhaust Pipe,393,323,316,7,2.17,Surface Crack,31,92.4,1.73,175546.96,1521.77,80.4
2024-04-24,April,Q2,2024,Factory-Lahore,M-101,Evening,OP-014,Engine Part A,300,241,228,13,5.39,Surface Crack,38,97.0,2.91,416005.28,8976.05,76.0
2024-06-25,June,Q2,2024,Factory-Lahore,M-104,Night,OP-015,Gear Box,149,132,123,9,6.82,Assembly Fault,79,88.2,5.76,94456.89,2576.1,82.6
2023-09-15,September,Q3,2023,Factory-Islamabad,M-103,Evening,OP-011,Gear Box,266,235,213,22,9.36,Assembly Fault,40,66.8,3.65,415632.61,15564.11,80.1
2024-07-20,July,Q3,2024,Factory-Islamabad,M-103,Night,OP-004,Gear Box,307,305,234,71,23.28,Material Defect,61,93.4,1.82,290719.04,27070.23,76.2
2023-01-12,January,Q1,2023,Factory-Lahore,M-104,Night,OP-020,Transmission Kit,224,204,186,18,8.82,Material Defect,69,64.0,2.44,314382.32,11095.85,83.0
2024-11-27,November,Q4,2024,Factory-Islamabad,M-104,Night,OP-008,Fuel Pump,188,178,172,6,3.37,Surface Crack,82,66.9,4.18,175875.95,2371.36,91.5
2023-04-28,April,Q2,2023,Factory-Karachi,M-104,Morning,OP-003,Exhaust Pipe,406,317,293,24,7.57,Surface Crack,29,109.2,2.97,465192.32,14087.84,72.2
2024-11-29,November,Q4,2024,Factory-Islamabad,M-101,Morning,OP-001,Gear Box,487,386,374,12,3.11,Dimensional Error,22,77.5,4.27,451905.51,5619.55,76.8
2024-07-03,July,Q3,2024,Factory-Karachi,M-103,Evening,OP-012,Exhaust Pipe,145,134,108,26,19.4,Assembly Fault,42,84.3,2.07,126131.12,9789.28,74.5
